id,title,summary
75,基于机器学习的线路跳闸预警研究,"电网线路跳闸预警是电网领域的重要课题,其主要研究内容在于通过准确预测电网线路跳闸发生概率,通过提前干预,消除电网运行过程中跳闸故障,提高电网运行稳定性。当前国网中线路跳闸预警方法只能依赖预测雷电,间接的预测跳闸概率,准确率低,过分依赖专家规则。本文根据国网线路跳闸预警方法缺乏运用运维数据与机器学习技术现状,提出了一种新型的基于two-steps的线路跳闸预警算法。其中:第一阶段为基于置信度与基尼不纯度的线路跳闸相关属性选择算法,第二阶段为基于集成学习的线路跳闸预警算法。相关研究归纳如下。第一阶段:首先对线路跳闸相关数据进行可视化分析,数据预处理,特征工程等;然后通过对线路跳闸相关数据特征进行基尼不纯度计算,获取线路跳闸相关属性特征排序,获取符合阈值要求的线路跳闸相关属性;其次基于置信度的计算与选取,在获取已排序好的线路跳闸相关属性中计算特征置信度,计算后可获得线路跳闸相关属性选择规则。最后将线路跳闸相关属性选择算法应用在测试集中,从而实现线路跳闸属性选择。第二阶段:首先收集整理第一阶段使用了线路跳闸相关属性选择算法的数据集作为训练数据。然后导入至基于集成学习的线路跳闸预警算法模型,进而完成模型的训练。最后根据训练完成的模型便可以进行预测。由于集成学习能够组合多个弱学习器得到更强更全面的学习器,在线路跳闸预测场景中使用集成学习方法的预测效果相比传统的数据挖掘方法更好。本文通过相关实验对提出的相关算法进行了验证,证明了其有效性和可行性。同时本文方案在J省的PMS(power production management system)系统中投入生产实测,进一步证明了上述方案的可行性和有效性。本文基于two-steps的方法,降低了样本数据维度大小,提高了预测准确性,在实际生产中取得了不错的效果。同时不需要额外的检测设备,可适用于不同级别的线路,具有良好的可推广性。"
76,基于深度学习的肝脏疾病诊断,"肝硬化等相关肝疾病日益威胁着人类的健康,因此对于肝疾病的诊断具有十分重要的意义。然而客观临床上采集的医学肝影像存在纹理结构不均匀,生理病变不清晰等问题,使得临床医师在主观诊断时容易存在一定的误差。因此针对上述问题,借助于计算机辅助诊断技术,本文首先在传统机器学习领域本文采用了MB-LBP和Gabor做特征融合,结合学习矢量化神经网络LVQ实现了对肝类疾病较好的分类。但是机器学习方法仍存在诸多弊端,人工提取特征耗时耗力,并且提取高质量特征存时也在一定困难。针对上述问题,本文进一步采用了深度学习的方法,其自动学习特征分类,极大提高了运行效率并且泛化性能力更强。本文基于该领域主要提出了两种识别系统:(1)本文首先使用了轻量级卷积神经网络SqueezeNet,相比较于传统卷积神经网络的网络层数多,结构参量大等问题,其具有更少的参数,训练更加方便高效,并且更加适用移动端或者嵌入式设备的深度学习应用。本文通过轻量级卷积神经网络SqueezeNet与SVM支持向量机相结合,较好的实现了对肝硬化识别分类。(2)其次,本文首次提出了一种新的模型结构GoogleNet-PNN,结合了GoogleNet卷积神经网络高效精准的学习图像特征和PNN概率神经网络训练容易、收敛速度快等的优点,并使用PSO粒子群算法优化了该结构,在肝病分类的实验中取得了较好的效果。由于深度学习的网络模型需要一定量的样本集训练参数使其达到最优,而现实中的医学图像的样本集数量远远小于自然图像集,若训练不充分容易产生过拟合现象并影响最终模型的性能。针对上述问题,本文采用了迁移学习和数据增强两种方法进行预训练和扩充数据集的方式进行优化。本文在最后实际应用了部分训练好的模型,在医学诊断具有很好的参考价值。"
77,基于多策略的高校助学金精准预测的研究与应用,"近年来随着高等教育的普及,高校人数也随之激增。同时对于高校中经济有一定困难的学生,党和政府也下发了一系列文件来帮助困难学生,使他们顺利完成学业。当前高校决定是否资助贫困生以及确定资助学生的助学金发放等级是按照“学生申请—老师签字—学校审批”的程序来进行的,这样的程序不可避免的会受到一些人为因素的影响。与此同时,随着大数据和互联网时代的到来为高校处理精准资助问题提供了新的思路和技术支持。本论文采用四川某高校2013—2015两年的学生在校行作为数据挖掘对象,使用数据挖掘技术和机器学习算法建立高校助学金精准预测模型并以F1值作为该模型的评估指标。本文首先进行数据预处理,接着进行探索性数据分析和特征工程以期获得优秀的特征数据。随后通过交叉验证法校验模型精度,并在模型构建过程中对比了随机森林算法、AdaBoost算法、支持向量机以及GBDT算法在助学金精准预测模型上的效果,初步发现GBDT算法效果相对最优。为了进一步提高助学金预测模型的性能,本文利用集成学习中的Stacking方法进行多模型融合,最后结合GBDT算法,AdaBoost算法和随机森林算法通过一定比例融合由此进一步提升了模型的性能。这种基于多策略的组合模型可以帮助管理者获取大学生在校期间的日常行为数据和贫困生在该模型的资助等级划分,从而辅助发现“虚假认定”和“隐形贫困”学生,对于优化高校助学金评选发放,节省高校相关管理者时间和完善助学金发放监督机制都具有实际意义。"
78,基于改进机器学习方法的股票预测研究,"随着我国经济的快速发展,人民的生活水平在不断提高。人们在生活逐渐富裕的同时,对于投资的需求也在不断增长,并且投资方式也越来越多样化。股票投资是人们生活中很常见的一种投资方式,如果能实现一种高效的股价预测方法,据此制定股票投资策略,就可以降低人们投资的风险,并增加投资收益。论文中使用两种机器学习算法对股价进行预测,并将预测结果用于制定个股投资策略和组合投资策略。支持向量回归机和RBF神经网络模型在解决回归问题的实践中被广泛应用,尤其是在处理经济数据时有很好的效果,据此论文通过总结前人的研究成果,将这两种机器学习算法应用于股价预测这一实际问题中。实验中采用股票收盘价序列作为基本数据,并以坐标延迟法重构归一化后的收盘价向量。向量重构的参数时间延迟和矩阵维数采用复自相关法和G-P算法确定。实验使用遗传算法GA优化支持向量回归机SVR和LSSVR的正则化参数与核函数宽度,并使用K-means聚类算法优化RBF神经网络隐含层高斯径向基激活函数的数据中心点与扩展常数,以聚类簇数作为隐含层神经元的个数,并以此计算网络的初始权值;论文基于这两种算法对股票收盘价进行预测。实验使用坐标延迟法重构股票收盘价时间序列,简化了选取股价数据维度的工作,并且使模型可以基于历史数据预测未来一段时期的股票收盘价;实验在对支持向量回归机和RBF神经网络的参数进行了优化后,基于这两种算法对八种股票不同时间段的收盘价进行了预测,文中展示了预测的结果,并通过分析模型的预测结果和评价指标评估模型的优劣,分析结论表明支持向量回归机在训练集上的拟合效果总体上好于RBF神经网络模型,而RBF神经网络模型在预测集上的预测效果则略优于支持向量回归机;并且两种模型均有效预测出了收盘价的涨跌趋势。实验之后,论文基于预测结果对部分收盘价上涨的股票使用不同的策略分别进行了投资模拟试验,试验中收益率的计算结果进一步验证了文中使用的股价预测方法的可行性。"
79,基于网络行为的用户画像算法研究,"伴随着整个社会对互联网、特别是移动互联网的广泛接受,用户产生数据呈现爆发式增长。我们每天都会在网络上留下大量的行为数据,比如查询词、网页访问记录等,这些数据类型丰富、时效性强,为分析用户的爱好习惯及个人属性信息、构建用户画像模型,提供了充足的数据资源。用户画像是企业大数据的基础,充分利用用户行为记录数据,刻画出用户属性信息全貌,高效地构建用户画像,将有利于企业实现精准营销及个性化服务。传统人工给用户画像打标签的效率较低,所以借助算法模型来预测标签成为用户画像的一个热门研究方向。但是目前主流的机器学习算法未能深入挖掘特征间的复杂关系,在高维、稀疏特征时预测效果仍不尽人意,还存在较大提升空间。而混合算法往往能结合各算法的优点,一定程度上克服缺陷,提高预测精度。针对用户的查询记录数据,为了实现用户多维人口属性标签的预测任务,对用户画像构建方法进行了深入研究,研究工作总结如下:1)提出了一种基于随机森林算法的二层集成学习框架。在第一层模型中,基于6种传统的机器学习算法来作为用户查询词特征提取器,并与用户的数字特征相融合,作为第二层模型的输入;在第二层模型中,使用随机森林算法作为分类器,采用不同的拟合策略来挖掘用户画像和用户的人口属性标签之间的隐藏信息。最后,通过实验证明,相对于单一基模型,基于随机森林算法的二层集成学习算法有更好的泛化能力和预测能力。2)提出了一种基于XGBoost算法的二层集成学习框架。针对用户查询词语料的特点,本文分析对比三种常用的文档向量表示方法的优缺点,对Doc2Vec提出改进,并结合BP神经网络算法,提出了BPDM(BPNN based Doc2Vec Model)算法模型,用来抽取用户查询词语义之间复杂特征。使用BPDM算法和基于随机森林算法的二层集成学习算法作为本框架第一层中的用户查询词特征提取器;在第二层模型中,使用XGBoost算法作为分类器,以此来构建用户画像模型。实验结果表明,该方法能有效降低特征维度,丰富基分类器的多样性,高效、准确地实现用户画像模型对多维人口属性的预测。"
80,基于深度学习的风功率预测模型的研究,"风电场功率预测系统用于预测风力发电场未来一段时间的发电能力,便于电网进行电力调度,该系统是风电场并网发电的必要条件。目前,国内大部分的功率预测系统的预测精度都无法达到电网调度中心的要求。为了提高风电场功率预测的精度,对深度学习在功率预测模型中的应用展开研究,从数据质量控制、数值气象预报匹配、功率预测模型的设计等角度减小功率预测模型的误差。此外,针对部分风电场冬季风机凝冻无法发电的问题,提出基于长短期记忆网络的风机凝冻预测方法,该研究成果可提升风电场发电能力,有较高的实际应用价值。主要研究内容包括以下几点:(1)针对风电场历史数据存在大量异常数据、缺失数据的问题,研究了包括数据异常检测和数据断点填补的数据质量控制流程。对基于长短期记忆网络(Long Short-Term Memory,LSTM)网络的数据异常检测方法进行了研究,并与多种基于机器学习算法的异常检测方法进行了实验对比;对基于多视图学习的数据填补方法进行了研究,并与传统的插值法和基于整合移动平均自回归模型(Autoregressive Integrated Moving Average model,ARIMA)预测的数据填补方法进行了实验对比。(2)针对现有风功率预测系统准确率偏低的问题,研究了基于数值气象预报的功率预测模型。因数值气象预报普适性较差,提出基于相似性排序的数值气象预报数据源匹配方法;设计了基于四层反向传播(Back Propagation,BP)神经网络的功率预测模型,与同类型的模型相比,该模型建立了更为精准的风与功率之间的映射关系,极大地降低了因模型造成的误差。(3)针对部分风力发电场冬季风机凝冻影响发电的问题,研究了基于LSTM网络的凝冻预测方法。由于数值气象预报中温度、湿度等直接影响凝冻概率的因素误差较大,本文中使用风电场测风塔的实时测量数据代入LSTM网络模型进行未来一段时间的温度和湿度预测。实验表明,LSTM网络的预测结果与基于ARIMA的时间序列预测方法相比,预测结果与实际数据的拟合度更高。本文中研究的功率预测模型在多家风电场进行了测试,平均准确率在83%以上,在国内属于较高水平。本文中的凝冻预测模型可较为准确地预测风电场未来一段时间的温度和湿度情况,根据该预测结果,风电场可合理安排风力发电机加热系统的启动时间,防止风力发电机凝冻造成的损失,该方面的实际应用研究在国内尚属首例。"
81,基于语义分析的铁路车载无线通信设备故障分析与预测,"随着铁路信息化程度的不断提高,多业务融合需求程度不断增加,铁路工作者需要从纷繁复杂的业务数据中快速获取有价值的信息,传统的仅凭人工和传统的数据处理工具已经不能满足海量数据计算分析和列车运行实时监控的需求。铁路机车综合无线通信设备(简称为CIR,Cab Integrated Radio Communication Equipment)是确保列车调度指挥、保障行车安全的重要行车设备,承载着列车调度通信、防护报警、语音通信、列车尾部风压查询等重要功能。CIR设备在列车运行过程中记录了大量设备运行数据,直接反映出设备的运行状态。本论文力图通过对CIR数据的整理、分析,实现对车载设备故障分析与实时预测,为CIR设备维护、升级提供建设性意见。通过数据分析,可以对设备故障做到提前预防、事中诊断与定位、事后评估等功能,从而为设备维修工作的决策提供数据支持。本论文针对CIR数据进行深入分析、研究,根据其类似自然语言的特点,运用语义分析等自然语言学习领域广泛应用的数据模型进行深入挖掘分析,对无限隐马尔可夫模型和n-GRAM语言模型进行了改进,提出了 Beam采样无限隐马尔可夫模型和LSTM-n-GRAM模型,实现了CIR数据状态分类与与故障实时监测,与传统人工手动的数据分析手段相比,具有数据分析量大、准确性高、查询分析速度快、实时性强等特点。两种模型实现的方式和理论基础不同,但结论均反映了CIR数据具有马尔可夫性,丰富了列车故障分析与实时预测的理论,为设备维护与故障诊断提供了解决思路,并在铁路运输生产中得到了实际运用与验证,证明其具有理论价值和工程应用价值。具体包括以下几方面创新性工作:一是基于CIR数据的时序特性,结合马尔可夫假设,使用改进的无限隐马尔可夫模型——Beam采样无限隐马尔可夫模型对CIR数据进行分类,对正常状态和未知数量的异常状态进行划分,实现了对CIR状态的有效监测,并结合实际列车运行CIR数据进行了验证。二是考虑CIR故障监测的实时性要求,使用改进的n-GRAM模型——LSTM-n-GRAM模型进行了状态预测,并使用CIR数据得到了实际验证。实验表明:使用n-GRAM假设的短期数据与使用整个时间序列数据的模型性能没有明显差别,LSTM-n-GRAM模型在进行数据分析时无需使用全部数据进行计算,极大提升了计算效率,避免了梯度消失等问题。从而大大提高了 CIR状态监测的实时性。"
82,基于机器学习的多特征融合室内定位的研究,"近年来,随着移动互联网的发展以及移动数据业务的激增,基于位置的服务(Location Based Services,LBS)在人们的工作生活中的应用也越来越广泛。基于无线局域网(wireless LAN,WLAN)的定位技术以其硬件成本低、组网灵活、易于推广等优势受到众多研究者的关注,相关领域的研究成果相继被提出。其中,基于接收信号强度符(Received Signal Strength Indicator,RSSI)的指纹定位技术目前最为流行。基于指纹的定位技术依赖于指纹的独特性,以更好地匹配唯一的位置坐标。仅采用单一的RSSI信道特征作为位置指纹可能丢失大量的多径信息,限制定位精度的提高。因此,本文提出一种基于多特征融合的定位技术。通过相关的文献查阅以及仿真实验,完成了如下研究工作:(1)构建基于多特征融合的核机器模型。基于正定核空间变换理论以及借鉴图像处理中多特征融合方法,对正定核线性组合模型进行改进,构建基于多特征融合的核机器模型,实现多种特征在机器学习过程中自适应地融合。RSSI易受到环境的干扰波动性较大,定位精度不稳定。基于到达时间(Time Of Arrival,TOA)的定位技术在视距(Line Of Sight,LOS)条件下定位精度高,然而在未检测的直接路径(Undetected Direct Path,UDP)的条件下,定位性能急剧下降。而基于RSSI定位技术对UDP条件不敏感。因此,为实现RSSI与TOA的优势互补,本文构建基于RSSI-TOA融合的核机器模型。采用岭回归优化算法进行拟合,经仿真实验表明,基于多特征融合的核机器模型在参数优化的过程中具有自适应特征选择的效果,相较于基于单特征的核机器模型具有更高的精度和鲁棒性。(2)研究基于多特征融合的核机器模型的优化算法。提出基于Group LASSO正则化的样本选择算法、基于L1范数正则化的特征选择算法以及超参数优化算法。对基于Group LASSO正则化样本选择定位算法的优化过程提出了一种基于回溯线搜索梯度下降算法以及牛顿迭代法融合的高效迭代优化算法,仿真实验表明,此迭代算法的收敛速度较单一的迭代优化算法快10倍以上。(3)通过仿真实验对的四种优化算法从定位精度、鲁棒性以及计算复杂度方面进行性能评估,得出结论:岭回归优化算法、超参数优化算法的定位性能较优。同时采用性能较优的两种优化算法将本文的基于多特征融合的定位方法与基于Wi-Fi与PDR融合的反馈校正定位方法——扩展卡尔曼滤波(Extended Kalman Filtering,EKF)算法和无迹卡尔曼滤波(Untracked Kalman Filtering,UKF)算法进行性能比较,得出本文的超参数优化算法在精度和计算复杂度上的综合性能最优。"
83,基于大数据的铁路道岔缺口监测分析研究,"目前随着我国铁路行业高速发展,我国铁路基础设施的数量也在逐渐增多,而设备的健康状况管理与监测问题一直没有得到很好的解决。当前我国铁路对于运输设备的维护主要采取“计划修”的手段,即以预防为主的定期维护,而这种传统的维修模式已经不能满足我国铁路发展形式下的新要求,迫切需要对铁路设施运行与健康状态进行监测分析,采取“状态修”或“预测修”的智能维护模式。另外,当前铁路系统各专业也已经积累了大规模的海量数据,并且还在呈现不断增长的趋势,但目前还缺乏一种有效手段来对铁路基础设施的健康状态进行统一管理以及对设备运行过程中所产生的海量数据进行有效的挖掘分析。本文以道岔缺口及转辙机设备状态的监测分析为研究重点,全面了解分析了国内外研究现状,提出了铁路道岔缺口大数据智能监测分析平台的研究思路,并通过铁路道岔缺口大数据智能监测分析平台相关技术的研究,实现了铁路道岔缺口及转辙机设备的状态管理、智能监测与综合分析。本文主要研究内容包括以下几个方面:(1)首先围绕当前铁路道岔缺口监测现状与实际业务需求进行分析,并根据目前主流物联网、大数据以及机器学习的相关技术,对道岔缺口大数据智能监测与分析平台的整体架构、各部分主要功能以及所涉及相关技术进行了设计与研究。(2)在完成了铁路道岔缺口大数据智能监测与分析平台设计的基础上,对其各部分功能的具体实现方法与技术细节展开了深入研究,包括数据采集接入存储的实现、大数据处理分析的实现以及数据挖掘机器学习模型的实现等。(3)文章最后对于道岔缺口大数据智能监测分析平台在实际生产环境中的功能和性能进行了详细的测试,经过对测试结果的研究分析,证明了本文所设计平台能够有效地实现对道岔缺口以及转辙机设备的智能监测分析,满足铁路基础设施对于设备状态的管理和监测需求。"
84,CT影像组学在胃癌诊断及病理分型中的可行性研究,"目的探讨CT影像组学特征在胃癌的诊断及病理分型中的可行性研究。方法回顾性收集2017年11月至2018年3月唐山市工人医院肿瘤外科及胃肠外科经手术病理证实的胃癌患者59例,病理结果为印戒细胞癌患者14例,腺癌患者39例,印戒细胞癌中有部分腺癌组织及腺癌中有部分印戒细胞癌组织的患者6例。以病理结果为金标准,对59例患者CT图像进行影像组学研究。首先,59例患者均进行CT平扫检查,CT检查前均行胃低张气体充盈。将CT图像导入汇医慧影Radcloud平台,进行手动感兴趣区(Region of interest ROI)勾画(包括病变组织及部分正常胃组织),提取特征,采用方差阈值法(variance threshold)、K最优法(select K best)和LASSO回归(Least absolute shrinkage and selection operator)算法逐步筛选特征,然后随机将计算机生成的80%的数据(纳入胃癌诊断中的47人;纳入胃癌病人中进行病理分型的腺癌31人和印戒细胞癌11人,共计42人)分配给训练组进行训练,20%(纳入胃癌胃癌诊断中的12人;纳入胃癌病人中进行病理分型的腺癌8人,印戒细胞癌3人,共计11人)分配给验证组,对训练组进行验证,用ROC曲线(receiver operating characteristic curve,受试者工作特征曲线)分析来说明放射特征的预测性能。最后,对其中提取的更为相关的特征进一步进行统计学分析。结果1在胃癌的诊断中,训练组选取了25个较有鉴别能力的特征,AUC均在0.9以上,敏感度及特异度也均较高。其中四分位数间距(Inter-quartile Range)、能量(Energy)、运行熵(Run Entropy)及最大值(Maximum)的诊断价值更大,对其进行统计学分析,其诊断效能较高。2在胃癌的病理类型的研究中,训练组选择8个特征对胃腺癌与印戒细胞癌进行鉴别,其中差分熵(Difference Entropy)及偏度(kewness)的诊断价值更大,对其进行统计学分析,其诊断效能中等。结论1基于CT平扫的影像组学分析用于胃癌的诊断,可以为肿瘤的诊断提供参考,特别是四分位数间距、能量、运行熵、最大值的诊断价值更为重要,为胃癌的诊断提供参考。2基于CT平扫的影像组学分析在胃癌的病理分型的研究具有临床参考价值,其中差分熵、偏度的效能较大,可见减少有创检查,为临床选择胃癌的治疗方法提供参考。图11幅;表7个;参128篇。"
85,低速碰撞下汽车吸能盒结构优化设计,"随着时代与经济的不断发展,汽车成为人们生活中不可或缺的工具。随着汽车给人们带来便利的同时,也带来环境污染、出行安全等问题,尤其是汽车低速碰撞的发生越来越频繁。吸能盒是在汽车低速碰撞中起到重要作用的部件,它可以由自身的溃缩吸收碰撞能量,减少冲击对驾驶员和车身带来的伤害,然而现今市面上车型的吸能盒设计均存在碰撞峰值力过大与吸能量不足的问题,易造成前纵梁、发动机等重要零件的受损和对驾驶员的伤害。因此针对吸能盒优化设计的研究对于车身安全与碰撞吸能结构有很好的理论和实践意义。本文通过对比国内外碰撞标准与法律法规,选取美国汽车修理研究协会RCAR(Research Council for Automobile Repairs)标准作为参考基于非线性有限元理论基础建立吸能盒碰撞分析模型,完成低速碰撞试验在仿真平台上的实现,并在保证求解精度的情况下简化模型,极大提高了分析效率。选取了合适的吸能盒材料与其性能评价指标引导吸能盒设计。本文主要工作可以总结为几点:(1)建立了优化的锥形多胞吸能盒结构,提升吸能盒单位质量吸能量,更好体现轻量化设计理念。通过分析传统吸能盒与多边形吸能盒、诱导槽吸能盒、多胞吸能盒等设计的特点,结合锥形与多胞结构建立锥形多胞吸能盒,采用构建响应面模型的方法分析了壁厚与锥度对于锥形多胞吸能盒性能的影响并对其进行优化设计,优化后的结构相比较原八边形多胞吸能盒峰值力降低59.08%,单位质量吸能量提升77.11%。(2)采用机器学习的方法对折纸结构吸能盒进行预测、分析和优化。鉴于折纸结构在各行业领域中的应用及其特点建立折纸结构吸能盒仿真模型,采用参数化建模的方法实现折纸结构吸能盒自动化建模。采用机器学习的方法对折纸吸能盒的几何参数对其性能与塌陷模式的影响进行分析,随后采用多目标优化的方法对该结构进行优化设计,最终得到性能良好的折纸吸能盒结构,其峰值力较传统八边形吸能盒峰值力降低17.65%,且总吸能量与单位质量吸能量均有不同程度的提升。此研究的分析过程验证了机器学习方法在工程中应用的可靠性,为薄壁吸能结构与机器学习方法在工程中的应用奠定基础。"
86,面向家庭服务机器人指令深层信息提取,"随着社会和科学的快速发展,智能服务机器人已经实现了从荧幕到人们的日常生活中,要实现智能服务机器人更方便快捷地为人们服务,还是有许多问题需要解决。自然语言指令浅层信息已经完成了识别任务,本文是在指令关键信息的提取上进行了深入的研究,提出一种运用支持向量机算法来提取指令中隐含的深层信息,帮助机器人去理解语音指令。首先,本文在家庭环境中收集人们发给智能服务机器人的语音指令,对收集到的语料进行分词、词性标注等文本处理。其次,对语料库中的指令语句的实体特征进行分析,运用条件随机场模型并构造识别实体的特征模板,调用条件随机场算法进行关键信息识别。对于指令中隐含的深层信息在支持向量机模型的基础上,运用LibSVM方法来实现实体之间关系的提取,把提取到的实体信息和实体关系信息进行存储,以此方式来提高家庭服务机器人为人们服务的执行效率。最后,由于XML知识库具有方便操作速度快的特点,本文把从指令中提取到的浅层信息和隐含的深层信息都存放到了XML知识库中。在论文中出示了实体识别的实验结果和分析,本文实现了提取指令深层信息的识别系统。图11幅;表11个;参41篇。"
87,基于小波神经网络与支持向量机的股票预测及优化,"股票市场数据通常具有极强的波动性,对股票市场数据的预测一直以来都是金融领域的重要课题。股票预测即对股票价格指数的运行趋势进行预测,这也是国内外在统计金融领域的研究热点。传统的股票预测方法主要是线性预测法,其中较为常见的就是建立自回归移动平均模型。在金融研究领域,自回归移动模型(ARIMA)是一种主要的预测手段,这是一种线性的预测方法,其对一些平稳数据的预测效果较好,但是对具有强波动性的股票数据往往效果欠佳。由于ARIMA模型的非线性预能力较差导致其始终无法产生较为满意的预测结果,研究者需要寻找更多适用于股票预测的方法。机器学习对金融行业数据的处理有着得天独厚的优势,其能精准分析同一时间内的大量股票数据或财务数据的变动,并很快得出相应的结论,这样使金融市场的运行效率得到显著提高。在股票市场的趋势预测方面,其能运用股价指数的相关特征对股票市场数据进行预测,在财务数据管理方面,机器学习算法可对公司的资产负债表、现金流量表等财务数据进行有效分析。我们需要寻找一些可以对非线性数据具有良好适应性的预测方法,所以拟用机器学习的相关算法,本文采用的是小波神经网络(WNN)和支持向量机(SVM)。小波神经网络是将小波与神经网络结合的理论方法,这种方法融合了两种理论的优点,是一种有效的股票预测方法。支持向量机以坚实的数学理论做支撑,其采用核函数方法可以有效解决一些复杂计算,并应用结构风险最小化原则使得这种方法在金融预测领域广受推崇。使用BP算法的WNN收敛速度慢且易陷入局部最小,为改善模型性能,提高预测精度,拟用用粒子群算法(PSO)优化WNN,优化WNN参数以建立股票预测模型PSO-WNN。为了遵从实验的逻辑性,同样建立股票预测模型PSO-SVM。运用MATLAB进行仿真实验,通过分析实验结果,证明小波神经网络和支持向量机在股票预测中的可行性。设定相关统计指标衡量预测效果,评估优化效果,并分析比较模型在优化后的预测性能,最后综合分析整体的预测性能。"
88,非平衡化标记补全的多标记学习及其应用,"多标记学习是处理真实世界具有丰富语义对象的主要学习框架之一。在人工智能、机器学习等方面应用广泛。在多标记学习中,示例具有多种标记属性,而这些标记间存在局部或者全局的相关性。显然合理利用标记间的这种关系可以获得额外的分类信息,这有利于提高多标记学习系统的性能。在真实世界中,样本的标记数通常远小于未标记数,否则示例的多义性将失去意义。但不可否认的是未知标记中也可能包含了大量有价值信息。目前很多考虑标记相关性学习算法都是假定标记间相关性是对称的,然而标记间关系并非一定对称。基于以上考虑,本文展开研究,主要工作如下:(1)目前众多的研究者通常直接将标签置信度矩阵作为先验知识直接加入到分类模型中,并没有考虑未标注先验知识对标签集质量的影响。基于此提出一种非平衡化标记补全的核极限学习机多标记学习算法:首先使用信息熵计算标记之间的相关关系得到标记置信度矩阵,然后利用非平衡参数方法对基础的标记置信度矩阵进行改进,构建出一个非平衡的标记补全矩阵,最后为了学习获得更加准确的标记置信度矩阵,将非平衡化的标记补全矩阵与核极限学习机进行联合学习,依此来解决多标记分类问题。(2)针对近邻空间的标记相关性问题,利用近邻空间中元素的相关性提升近邻标记空间的质量,提出一种近邻标记空间的非平衡化标记补全算法:首先利用标记之间的信息熵来衡量标记之间关系的强弱,进而获得基础标记置信度矩阵;然后利用提出的非平衡标记置信度矩阵计算方法,获得包含更多信息的非平衡标记置信度矩阵;接下来度量样本在特征空间中的相似度,得到k个近邻标记空间样本,再利用非平衡标记置信度矩阵计算得到近邻标记空间的标记补全矩阵,最后利用极限学习机作为线性分类器进行分类。(3)考虑样本特征空间信息进行重构,增强特征空间的样本联系的同时引入标记相关性信息,提出一种结合均值漂移和非平衡化标记补全的多标记学习算法:首先利用均值漂移聚类方法将特征空间中特征间的信息进行重构;接着利用标记之间的信息熵来衡量标记之间关系的强弱,进而获得基础标记置信度矩阵;然后利用提出的非平衡标记置信度矩阵计算方法,获得包含更多信息的非平衡化标记补全矩阵;最后利用重构的特征空间与非平衡化的标记补全矩阵构成新的训练集,根据新的训练集采用已有的线性分类器进行预测。"
89,基于多示例多标记的多领域数据分类,"近年来,随着大数据和人工智能的迅速发展,标记学习成为重点研究领域之一。其中,多示例多标记学习(Multi-Instance Multi-Label Learning,MIML)作为一种新型的学习范式,拓展了多示例学习(Multi-Instance Learning,MIL)和多标记学习(Multi-Label Learning,MLL)。MIML对于现实世界中许多复杂和模糊对象具有更好的表示能力,同时示例的表达方式也更加契合对象所存在的多义性。因此,MIML学习框架成为模式识别与标记学习重点研究课题之一,众多学者提出了大量MIML分类算法,并在文本、图像、音频和生物信息等多领域数据分析处理中取得较大成功。本文将主要针对基于MIML框架进行多领域数据分类问题研究,通过对MIML的深入学习探究,实现对于MIML分类算法中退化策略算法、分类算法和端到端分类算法的改进,主要研究工作如下:(1)目前基于K-Medoids聚类退化MIML算法将各示例间视为相互独立,退化过程可能造成较多的信息丢失,且K-Medoids聚类需聚类簇K的先验知识,不同的K值对分类结果影响较大。针对该问题,提出了一种改进均值漂移算法的多示例多标记分类算法,通过带有权值且为非参数聚类算法的均值漂移退化MIML,考虑示例间的相关性,尽可能减少退化过程信息的丢失。实验进一步验证了算法的有效性。(2)传统神经网络算法需要较多的网络参数设置,在求解最优解时很有可能出现局部最优解,而无法得到全局最优解。而极限学习机(Extreme Learning Machine,ELM)是一种高效且具有优化学习算法的单隐层前馈神经网络,求解时只需设置隐藏层节点数,并随机初始化权值和偏置就可求解出全局最优解。但传统ELM算法需设置隐藏层节点数,并且需初始随机权值和偏置,易受随机值的影响导致计算结果并不稳定,采用核ELM则可以解决这一问题。因此,提出将回归核极限学习机作为基分类器的MIML分类算法,在保证分类精度的同时降低了分类的时间消耗。通过对比实验表明了算法了可靠性。(3)近年来随着计算机硬件的飞速发展,深度学习技术也得到了广泛的应用。但目前基于卷积神经网络(Convolutional Neural Networks,CNN)的MIML分类算法多使用Softmax函数进行分类,但此函数将类与类之间视为互斥事件,并不符合MIML学习框架。因此,提出将CNN网络中Softmax函数替换为ELM分类器,构造出一种端到端的图像分类算法。将所提CNN-ELM-MIML模型与原始CNN进行对比,表明所提算法的合理性。"
